"Data_x","Data_y","Fit_x","Fit_y","Fe_foilCal_007_Mar_17.avg_x","Fe_foilCal_007_Mar_17.avg_y","Pyrite_NMNH_recal_2_15_tr.avg_x","Pyrite_NMNH_recal_2_15_tr.avg_y","VIVIANITE_006_XANES_tr.avg_x","VIVIANITE_006_XANES_tr.avg_y","STRENGITE_XTL_007_XANES_tr.avg_x","STRENGITE_XTL_007_XANES_tr.avg_y","Fe_SIDERITE_5_13_tr_cl.avg_x","Fe_SIDERITE_5_13_tr_cl.avg_y","SIDERITE_11_cl.avg_x","SIDERITE_11_cl.avg_y","Fe_Foil_July17_1sc_tr_cl.avg']_x","Fe_Foil_July17_1sc_tr_cl.avg']_y"
7092.584,0.1479122826,7092.584,0.008331869094,7092.584,0.00449997378,7092.584,0,7092.584,0,7092.584,0,7092.584,0.003831895314,7092.584,0,7092.584,0,
7095.983,0.1525259472,7095.983,0.008331869094,7095.983,0.00449997378,7095.983,0,7095.983,0,7095.983,0,7095.983,0.003831895314,7095.983,0,7095.983,0,
7099.223,0.1879479687,7099.223,0.008331869094,7099.223,0.00449997378,7099.223,0,7099.223,0,7099.223,0,7099.223,0.003831895314,7099.223,0,7099.223,0,
7102.138,0.6597184118,7102.138,0.009474634424,7102.138,0.0009160923689,7102.138,0,7102.138,0,7102.138,0,7102.138,0.008558542055,7102.138,0,7102.138,0,
7103.001,0.2772473738,7103.001,0.008542371626,7103.001,-0.0014061959,7103.001,0,7103.001,0,7103.001,0,7103.001,0.009948567525,7103.001,0,7103.001,0,
7104.063,0.1634433264,7104.063,0.01233239238,7104.063,-0.0007637191163,7104.063,0,7104.063,0,7104.063,0,7104.063,0.0130961115,7104.063,0,7104.063,0,
7104.999,0.1571434715,7104.999,0.01226638979,7104.999,-0.00324145644,7104.999,0,7104.999,0,7104.999,0,7104.999,0.01550784623,7104.999,0,7104.999,0,
7106.068,0.4211829965,7106.068,0.02111519636,7106.068,0.001068773071,7106.068,0,7106.068,0,7106.068,0,7106.068,0.02004642329,7106.068,0,7106.068,0,
7107.042,0.2527769077,7107.042,0.0299150134,7107.042,0.005382704797,7107.042,0,7107.042,0,7107.042,0,7107.042,0.0245323086,7107.042,0,7107.042,0,
7108,0.2025094281,7108,0.0385135463,7108,0.008454344197,7108,0,7108,0,7108,0,7108,0.03005920211,7108,0,7108,0,
7109.002,0.2355174269,7109.002,0.05961143675,7109.002,0.02201097004,7109.002,0,7109.002,0,7109.002,0,7109.002,0.03760046671,7109.002,0,7109.002,0,
7110.01,0.3484478624,7110.01,0.09508791742,7110.01,0.04604063648,7110.01,0,7110.01,0,7110.01,0,7110.01,0.04904728094,7110.01,0,7110.01,0,
7111,0.4068211566,7111,0.1935401748,7111,0.1188487579,7111,0,7111,0,7111,0,7111,0.07469141685,7111,0,7111,0,
7111.987,0.3772105626,7111.987,0.3903620594,7111.987,0.2816738601,7111.987,0,7111.987,0,7111.987,0,7111.987,0.1086881993,7111.987,0,7111.987,0,
7113.077,0.3986446478,7113.077,0.576626321,7113.077,0.448437731,7113.077,0,7113.077,0,7113.077,0,7113.077,0.12818859,7113.077,0,7113.077,0,
7114.069,0.4284242838,7114.069,0.671418934,7114.069,0.533552775,7114.069,0,7114.069,0,7114.069,0,7114.069,0.1378661591,7114.069,0,7114.069,0,
7115.072,0.5053332546,7115.072,0.7479660624,7115.072,0.5984550188,7115.072,0,7115.072,0,7115.072,0,7115.072,0.1495110437,7115.072,0,7115.072,0,
7116.035,0.6367750436,7116.035,0.8129349347,7116.035,0.6315099609,7116.035,0,7116.035,0,7116.035,0,7116.035,0.1814249737,7116.035,0,7116.035,0,
7117.064,0.921292985,7117.064,0.9257598885,7117.064,0.6530185423,7117.064,0,7117.064,0,7117.064,0,7117.064,0.2727413462,7117.064,0,7117.064,0,
7118.015,1.43371195,7118.015,1.143070833,7118.015,0.6897592381,7118.015,0,7118.015,0,7118.015,0,7118.015,0.4533115947,7118.015,0,7118.015,0,
7119.076,2.279319064,7119.076,1.549916842,7119.076,0.7743733998,7119.076,0,7119.076,0,7119.076,0,7119.076,0.7755434418,7119.076,0,7119.076,0,
7120.02,3.32761508,7120.02,2.009547698,7120.02,0.8631356957,7120.02,0,7120.02,0,7120.02,0,7120.02,1.146412003,7120.02,0,7120.02,0,
7121.042,4.550403544,7121.042,2.633769371,7121.042,0.9453658262,7121.042,0,7121.042,0,7121.042,0,7121.042,1.688403545,7121.042,0,7121.042,0,
7122.035,5.675466683,7122.035,3.469012687,7122.035,1.015469357,7122.035,0,7122.035,0,7122.035,0,7122.035,2.45354333,7122.035,0,7122.035,0,
7123.06,6.341827265,7123.06,4.49818939,7123.06,1.065716381,7123.06,0,7123.06,0,7123.06,0,7123.06,3.432473008,7123.06,0,7123.06,0,
7124.055,6.927804854,7124.055,5.401968095,7124.055,1.097515412,7124.055,0,7124.055,0,7124.055,0,7124.055,4.304452683,7124.055,0,7124.055,0,
7125,7.170813429,7125,5.900095968,7125,1.119378847,7125,0,7125,0,7125,0,7125,4.78071712,7125,0,7125,0,
7126.063,7.680459263,7126.063,5.999154898,7126.063,1.140013917,7126.063,0,7126.063,0,7126.063,0,7126.063,4.859140981,7126.063,0,7126.063,0,
7127.002,7.335507291,7127.002,5.851536466,7127.002,1.153570825,7127.002,0,7127.002,0,7127.002,0,7127.002,4.697965642,7127.002,0,7127.002,0,
7128.038,6.45704562,7128.038,5.529192118,7128.038,1.170164558,7128.038,0,7128.038,0,7128.038,0,7128.038,4.35902756,7128.038,0,7128.038,0,
7129.041,6.308177105,7129.041,5.158543004,7129.041,1.191621072,7129.041,0,7129.041,0,7129.041,0,7129.041,3.966921931,7129.041,0,7129.041,0,
7130.005,5.760642117,7130.005,4.8622462,7130.005,1.211997378,7130.005,0,7130.005,0,7130.005,0,7130.005,3.650248822,7130.005,0,7130.005,0,
7131.07,5.318518206,7131.07,4.655100114,7131.07,1.228997486,7131.07,0,7131.07,0,7131.07,0,7131.07,3.426102628,7131.07,0,7131.07,0,
7132.056,4.880282695,7132.056,4.592890634,7132.056,1.23747934,7132.056,0,7132.056,0,7132.056,0,7132.056,3.355411294,7132.056,0,7132.056,0,
7133.031,4.781695751,7133.031,4.659334838,7133.031,1.228638546,7133.031,0,7133.031,0,7133.031,0,7133.031,3.430696292,7133.031,0,7133.031,0,
7134.075,4.826197423,7134.075,4.83836734,7134.075,1.215149271,7134.075,0,7134.075,0,7134.075,0,7134.075,3.623218069,7134.075,0,7134.075,0,
7135.07,4.784138901,7135.07,5.002204381,7135.07,1.198384393,7135.07,0,7135.07,0,7135.07,0,7135.07,3.803819988,7135.07,0,7135.07,0,
7136.04,4.781945857,7136.04,5.104873853,7136.04,1.190574196,7136.04,0,7136.04,0,7136.04,0,7136.04,3.914299657,7136.04,0,7136.04,0,
7137.057,4.832001515,7137.057,5.126470409,7137.057,1.183581227,7137.057,0,7137.057,0,7137.057,0,7137.057,3.942889183,7137.057,0,7137.057,0,
7138.06,4.680548522,7138.06,5.068140118,7138.06,1.184365259,7138.06,0,7138.06,0,7138.06,0,7138.06,3.883774859,7138.06,0,7138.06,0,
7139.035,4.594687445,7139.035,4.941580784,7139.035,1.188206783,7139.035,0,7139.035,0,7139.035,0,7139.035,3.753374002,7139.035,0,7139.035,0,
7140.002,4.50901146,7140.002,4.941580784,7140.002,1.188206783,7140.002,0,7140.002,0,7140.002,0,7140.002,3.753374002,7140.002,0,7140.002,0,
7141.05,4.227937046,7141.05,4.941580784,7141.05,1.188206783,7141.05,0,7141.05,0,7141.05,0,7141.05,3.753374002,7141.05,0,7141.05,0,
7143.16,4.065225001,7143.16,4.941580784,7143.16,1.188206783,7143.16,0,7143.16,0,7143.16,0,7143.16,3.753374002,7143.16,0,7143.16,0,
7145.339,3.891888171,7145.339,4.941580784,7145.339,1.188206783,7145.339,0,7145.339,0,7145.339,0,7145.339,3.753374002,7145.339,0,7145.339,0,
7147.318,3.694960895,7147.318,4.941580784,7147.318,1.188206783,7147.318,0,7147.318,0,7147.318,0,7147.318,3.753374002,7147.318,0,7147.318,0,
7149.611,3.706411073,7149.611,4.941580784,7149.611,1.188206783,7149.611,0,7149.611,0,7149.611,0,7149.611,3.753374002,7149.611,0,7149.611,0,
7151.558,3.630139351,7151.558,4.941580784,7151.558,1.188206783,7151.558,0,7151.558,0,7151.558,0,7151.558,3.753374002,7151.558,0,7151.558,0,
7153.797,3.521862674,7153.797,4.941580784,7153.797,1.188206783,7153.797,0,7153.797,0,7153.797,0,7153.797,3.753374002,7153.797,0,7153.797,0,
7155.778,3.555942518,7155.778,4.941580784,7155.778,1.188206783,7155.778,0,7155.778,0,7155.778,0,7155.778,3.753374002,7155.778,0,7155.778,0,
7157.952,3.766594934,7157.952,4.941580784,7157.952,1.188206783,7157.952,0,7157.952,0,7157.952,0,7157.952,3.753374002,7157.952,0,7157.952,0,
7160.041,3.951589515,7160.041,4.941580784,7160.041,1.188206783,7160.041,0,7160.041,0,7160.041,0,7160.041,3.753374002,7160.041,0,7160.041,0,
7161.077,4.155206585,7161.077,4.941580784,7161.077,1.188206783,7161.077,0,7161.077,0,7161.077,0,7161.077,3.753374002,7161.077,0,7161.077,0,
7164.176,4.31711805,7164.176,4.941580784,7164.176,1.188206783,7164.176,0,7164.176,0,7164.176,0,7164.176,3.753374002,7164.176,0,7164.176,0,
7167.193,4.416990461,7167.193,4.941580784,7167.193,1.188206783,7167.193,0,7167.193,0,7167.193,0,7167.193,3.753374002,7167.193,0,7167.193,0,
