"ROI Spectrum_x","ROI Spectrum_y"
0,0.007809781728,
10,0.009154792507,
20,0.01169319486,
30,0.02300730787,
40,0.01665474642,
50,0.01576035815,
60,0.01668097277,
70,0.02349125102,
80,0.02271504544,
90,0.02391565327,
100,0.02990101246,
110,0.04853005666,
120,0.06002583888,
130,0.05729500204,
140,0.05896381749,
150,0.06345094556,
160,0.07823297354,
170,0.1053121634,
180,0.1730872168,
190,0.2922474418,
200,0.4901711911,
210,0.7243019497,
220,0.9831515668,
230,1.209170951,
240,1.414286284,
250,1.544453,
260,1.638416039,
270,1.617783744,
280,1.47035539,
290,1.308952168,
300,1.23671943,
310,1.214935965,
320,1.138901023,
330,1.046189127,
340,1.021796615,
350,0.9871876917,
360,0.9740240839,
370,0.9681048364,
380,0.9662806311,
390,0.9586102904,
400,0.9397835996,
410,0.925176126,
420,0.8899516323,
430,0.8718916678,
440,0.8437735541,
450,0.8178562927,
460,0.8042625829,
470,0.8215021785,
480,0.8432523498,
490,0.8562390304,
500,0.8940569045,
510,0.924017706,
520,0.9543426611,
530,1.006872076,
540,1.03386075,
550,1.03419604,
560,1.041049653,
